,,,,,10,,,,,,,,,,,,,,,9,,,,,,,,,,,,8,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,,,,,4,,,,,,,,,3,,,,,2,,,,,1,RIQUEZA ABSOLUTA,DIVERSIDAD SEGÚN SHANNON,CALIDAD DEL AGUA SEGÚN SHANNON,ÍNDICE BMWP/Col,ÍNDICE BMWP/Col,,,,
RIO,COORD- X,COORD- Y,PUNTO,FECHA,Anomalopsychidae,Atriplectididae,Blepharoceridae,Calamoceratidae,Ptilodactylidae,Chordodidae,Gomphidae,Hydridae,Lampyridae,Lymnessiidae,Odontoceridae,Oligoneuriidae,Perlidae,Polythoridae,Psephenidae,Ampullariidae,Dytiscidae,Ephemeridae,Euthyplociidae,Gyrinidae,Hydraenidae,Hydrobiosidae,Leptophlebiidae,Philopotamidae,Polycentropodidae,Polymitarcydae,Xiphocentronidae,Gerridae,Hebridae,Helicopsychidae,Hydrobiidae,Leptoceridae,Lestidae,Palaemonidae,Pleidae,Pseudothelpusidae,Saldidae,Simuliidae,Veliidae,Baetidae,Caenidae,Calopterygidae,Coenagrionidae,Corixidae,Dixidae,Dryopidae,Glossossomatidae,Hyalellidae,Hydroptilidae,Hydropsychidae,Leptohyphidae,Naucoridae,Notonectidae,Planariidae,Psychodidae,Scirtidae,Aeshnidae,Ancylidae,Corydalidae,Elmidae,Libellulidae,Limnichidae,Lutrochidae,Megapodagrionidae,Sialidae,Staphylinidae,Belostomatidae,Gelastocoridae,Mesoveliidae,Nepidae,Planorbiidae,Pyralidae,Tabanidae,Thiaridae,Chrysomelidae,Stratiomyidae,Haliplidae,Empididae,Dolichopodidae,Sphaeridae,Lymnaeidae,Hydrometridae,Noteridae,Ceratopogonidae,Glossiphoniidae,Cyclobdellidae,Hydrophilidae,Physidae,Culicidae,Chironomidae,Muscidae,Sciomyzidae,Syrphidae,Tubificidae,,,,,,,,,
HUASAGA,275317.5,9699416.5,P1,"08/01/2018  07:25:43 a, m,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.66,Contaminación moderada,39,Aguas moderadamente contaminadas,,,,
HUASAGA,267687.4,9704496.8,P2,"08/01/2018  09:25:43 a, m,",0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,30,1.79,Contaminación moderada,48,Aguas moderadamente contaminadas,,,,
HUASAGA,260536.9,9708079.8,P3,"08/01/2018  11:25:43 a, m,",0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1.71,Contaminación moderada,51,Aguas moderadamente contaminadas,,,,
HUASAGA,258714.1,9715164.6,P4,"08/01/2018  14:25:43 p, m,",1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,34,1.83,Contaminación moderada,57,Aguas moderadamente contaminadas,,,,
HUASAGA,257269.2,9720800.8,P5,"08/01/2018  16:25:43 p, m,",0,0,0,6,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2.26,Contaminación moderada,85,Aguas ligeramente contaminadas,,,,
CHAPIZA,177784.8,9681258.3,P1,"10/01/2018  07:25:43 a, m,",0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1.86,Contaminación moderada,58,Aguas moderadamente contaminadas,,,,
CHAPIZA,178221.8,9689341.6,P2,"10/01/2018  09:25:43 a, m,",0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1.86,Contaminación moderada,70,Aguas ligeramente contaminadas,,,,
CHAPIZA,178170,9693894,P3,"10/01/2018  11:25:43 a, m,",0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.38,Contaminación moderada,45,Aguas moderadamente contaminadas,,,,
CHAPIZA,176461.8,9699526.9,P4,"10/01/2018  13:25:43 p, m,",0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1.73,Contaminación moderada,49,Aguas moderadamente contaminadas,,,,
